,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
582,2019,"PLAINS PIPELINE, L.P.",32.080658,-103.17905,CRUDE OIL,80.0,0.0,80.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,32.079469,-103.180007,0.99,rooftop,38,Tank Farm Ln,,,Jal,NM,Lea County,88252,US,Statewide,0.0
588,2019,"WESTERN REFINING LOGISTICS, LP",36.0441,-107.6142,CRUDE OIL,0.2,0.0,0.2,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,36.043579,-107.613603,1.0,rooftop,700,Counselor Pipeline,,,Cuba,NM,Sandoval County,87013,US,Statewide,0.0
668,2019,"PLAINS PIPELINE, L.P.",32.6585,-103.1384,CRUDE OIL,10.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,32.658395,-103.13933,0.99,rooftop,329,W Llano Grande Dr,,,Hobbs,NM,Lea County,88240,US,Statewide,10.0
672,2019,ENTERPRISE PRODUCTS OPERATING LLC,33.08834,-103.3932,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.36,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.089548,-103.386607,0.94,nearest_street,99,Kidd Rd,,,Mc Donald,NM,Lea County,88262,US,TIGER/Line® dataset from the US Census Bureau,0.36
752,2019,ENTERPRISE PRODUCTS OPERATING LLC,35.4858,-106.7153,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.1,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,35.4858,-106.7153,0.08,nearest_place,,,,,San Ysidro,NM,Sandoval County,87053,US,TIGER/Line® dataset from the US Census Bureau,0.0
758,2019,KINDER MORGAN CO2 CO. LP,33.96455,-104.58069,CO2 (CARBON DIOXIDE),37.7,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,33.963759,-104.581725,0.99,rooftop,323,Ft Sumner Rd,,,Roswell,NM,Chaves County,88201,US,Statewide,37.7
823,2019,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.763114,-104.580295,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,25.0,0.0,24.5,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,32.763114,-104.580295,0.06,nearest_place,,,,,Hope,NM,Eddy County,88250,US,TIGER/Line® dataset from the US Census Bureau,0.5
890,2018,"SFPP, LP",32.06156,-106.64945,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,10910.0,0.0,6779.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,32.060926,-106.649429,1.0,rooftop,4220 3,3 Saints Rd,,,Anthony,NM,Doña Ana County,88021,US,Statewide,4131.0
896,2018,"WESTERN REFINING LOGISTICS, LP",32.063926,-103.67576,CRUDE OIL,3.0,0.0,2.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,32.064324,-103.676086,1.0,rooftop,1058,Orla Rd,,,Jal,NM,Lea County,88252,US,Statewide,1.0
998,2018,"WESTERN REFINING PIPELINE, LLC",32.0644,-103.67686,CRUDE OIL,1.0,0.0,0.5,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,32.064324,-103.676086,1.0,rooftop,1058,Orla Rd,,,Jal,NM,Lea County,88252,US,Statewide,0.5
1007,2018,"PLAINS PIPELINE, L.P.",32.532861,-103.545529,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.532861,-103.545529,0.04,nearest_place,,,,,Hobbs,NM,Lea County,88240,US,TIGER/Line® dataset from the US Census Bureau,0.0
1018,2018,"WESTERN REFINING PIPELINE, LLC",35.73283,-107.74805,CRUDE OIL,925.0,0.0,821.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,35.735354,-107.749095,0.96,nearest_street,26,Hospah Rd,,,Crownpoint,NM,McKinley County,87313,US,TIGER/Line® dataset from the US Census Bureau,104.0
1030,2018,"PLAINS PIPELINE, L.P.",32.080654,-103.178045,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.080654,-103.178045,0.37,nearest_place,,,,,Jal,NM,Lea County,88252,US,TIGER/Line® dataset from the US Census Bureau,0.0
1033,2018,"ONEOK NGL PIPELINE, LLC",32.814194,-103.762079,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.65,0.0,0.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,32.814155,-103.762307,1.0,rooftop,299,Maljamar Rd,,,Hobbs,NM,Lea County,88240,US,Statewide,0.65
1035,2018,"WESTERN REFINING PIPELINE, LLC",34.87118,-105.93844,CRUDE OIL,0.71,0.0,0.66,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,34.870319,-105.94392,0.94,nearest_street,698,County Rd A080,,,Mc Intosh,NM,Torrance County,87032,US,TIGER/Line® dataset from the US Census Bureau,0.04999999999999993
1061,2018,"WESTERN REFINING PIPELINE, LLC",35.73283,-107.74805,CRUDE OIL,3.8,0.0,3.4,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,35.735354,-107.749095,0.96,nearest_street,26,Hospah Rd,,,Crownpoint,NM,McKinley County,87313,US,TIGER/Line® dataset from the US Census Bureau,0.3999999999999999
1097,2018,"PLAINS PIPELINE, L.P.",32.07935,-103.18034,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.079469,-103.180007,1.0,rooftop,38,Tank Farm Ln,,,Jal,NM,Lea County,88252,US,Statewide,0.0
1153,2018,"WESTERN REFINING PIPELINE, LLC",32.52274678,-103.9322122,CRUDE OIL,0.36,0.0,0.24,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,32.522747,-103.932212,0.03,nearest_place,,,,,Carlsbad North,NM,Eddy County,88220,US,TIGER/Line® dataset from the US Census Bureau,0.12
1168,2018,ENTERPRISE PRODUCTS OPERATING LLC,32.24267,-103.72251,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,5.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,32.24267,-103.72251,0.02,nearest_place,,,,,Malaga,NM,Lea County,88263,US,TIGER/Line® dataset from the US Census Bureau,5.1
1193,2018,ENTERPRISE PRODUCTS OPERATING LLC,36.231147,-107.546656,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,334.7,2.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,36.23053,-107.547191,0.99,rooftop,10300,US Highway 550,,,Cuba,NM,Rio Arriba County,87013,US,Statewide,336.7
1283,2017,ENTERPRISE CRUDE PIPELINE LLC,32.652011,-103.139865,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.652067,-103.13904,1.0,rooftop,201,W Arco Rd,,,Hobbs,NM,Lea County,88240,US,Statewide,0.0
1315,2017,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.879977,-103.305339,CRUDE OIL,45.0,0.0,45.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,32.879977,-103.305339,0.1,nearest_place,,,,,Lovington,NM,Lea County,88260,US,TIGER/Line® dataset from the US Census Bureau,0.0
1331,2017,ENTERPRISE CRUDE PIPELINE LLC,32.650636,-103.14037,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.652067,-103.13904,0.99,rooftop,201,W Arco Rd,,,Hobbs,NM,Lea County,88240,US,Statewide,0.0
1426,2017,"ONEOK NGL PIPELINE, LLC",32.53791,-103.26244,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.2,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,32.53791,-103.26244,0.06,nearest_place,,,,,Eunice,NM,Lea County,88231,US,TIGER/Line® dataset from the US Census Bureau,2.2
1439,2017,"NUSTAR LOGISTICS, L.P.",34.886944,-106.228056,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.48,0.0,0.48,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,34.886809,-106.228764,1.0,rooftop,9868,Nm,,,Tijeras,NM,Bernalillo County,87059,US,Bernalillo,0.0
1457,2017,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.7824,-103.9611,CRUDE OIL,16.5,0.0,16.5,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.7824,-103.9611,0.18,nearest_place,,,,,Loco Hills,NM,Eddy County,88255,US,TIGER/Line® dataset from the US Census Bureau,0.0
1478,2017,"ONEOK NGL PIPELINE, LLC",32.778549,-104.242702,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.0,2000.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.778549,-104.242702,0.35,nearest_place,,,,,Artesia,NM,Eddy County,88210,US,TIGER/Line® dataset from the US Census Bureau,2003.0
1485,2017,ENTERPRISE PRODUCTS OPERATING LLC,36.758892,-108.365549,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,10.7,0.0,10.7,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,36.758252,-108.366356,0.99,rooftop,99,Road 6500,,,Kirtland,NM,San Juan County,87417,US,Statewide,0.0
1489,2017,ENTERPRISE PRODUCTS OPERATING LLC,36.759385,-108.365402,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,11.2,0.0,11.2,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,36.758258,-108.366366,0.99,rooftop,99,Road 6500,,,Kirtland,NM,San Juan County,87417,US,San Juan,0.0
1515,2017,"PLAINS PIPELINE, L.P.",32.522267,-103.524841,CRUDE OIL,50.0,0.0,50.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,32.522267,-103.524841,0.04,nearest_place,,,,,Hobbs,NM,Lea County,88240,US,TIGER/Line® dataset from the US Census Bureau,0.0
1573,2017,"ONEOK NGL PIPELINE, LLC",32.778539,-104.243318,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.0,1000.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.778539,-104.243318,0.34,nearest_place,,,,,Artesia,NM,Eddy County,88210,US,TIGER/Line® dataset from the US Census Bureau,1003.0
1601,2017,ENTERPRISE PRODUCTS OPERATING LLC,35.269695,-106.3074,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,35.276493,-106.308973,0.93,nearest_street,5042,Puertocito Rd,,,Algodones,NM,Sandoval County,87001,US,TIGER/Line® dataset from the US Census Bureau,0.1
1608,2017,ENTERPRISE CRUDE PIPELINE LLC,32.6522,-103.1374,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.652067,-103.13904,0.99,rooftop,201,W Arco Rd,,,Hobbs,NM,Lea County,88240,US,Statewide,0.0
1649,2017,ENTERPRISE PRODUCTS OPERATING LLC,35.354167,-106.512,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,35.352184,-106.512787,0.96,nearest_street,1145,State Hwy 313,,,Algodones,NM,Sandoval County,87001,US,TIGER/Line® dataset from the US Census Bureau,0.1
1717,2016,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.8076,-104.4469,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,15.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.8076,-104.4469,0.06,nearest_place,,,,,Artesia,NM,Eddy County,88211,US,TIGER/Line® dataset from the US Census Bureau,15.0
1810,2016,KINDER MORGAN CO2 CO. LP,35.74167,-107.13789,CO2 (CARBON DIOXIDE),0.7,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,35.7418,-107.136551,0.99,rooftop,651,San Luis Pipeline,,,Cuba,NM,Sandoval County,87013,US,Statewide,0.7
1812,2016,"WESTERN REFINING PIPELINE, LLC",33.05193,-103.9874,CRUDE OIL,4.5,0.0,4.5,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,33.050745,-103.986808,0.99,rooftop,2761,Aberdeen Rd,,,Lake Arthur,NM,Chaves County,88253,US,Statewide,0.0
1834,2016,ENTERPRISE PRODUCTS OPERATING LLC,33.538716,-103.987485,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,NO,CARBON STEEL,OTHER,,33.538716,-103.987485,0.04,nearest_place,,,,,Elkins,NM,Chaves County,88201,US,TIGER/Line® dataset from the US Census Bureau,0.1
1851,2016,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.847106,-104.390717,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.846128,-104.391603,0.97,nearest_street,485,Mosley Ave,,,Artesia,NM,Eddy County,88210,US,TIGER/Line® dataset from the US Census Bureau,0.0
1861,2016,"PLAINS PIPELINE, L.P.",32.533014,-103.545923,CRUDE OIL,250.0,0.0,250.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.533014,-103.545923,0.04,nearest_place,,,,,Hobbs,NM,Lea County,88240,US,TIGER/Line® dataset from the US Census Bureau,0.0
1959,2016,KINDER MORGAN CO2 CO. LP,33.96455,-104.58069,CO2 (CARBON DIOXIDE),70.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,33.963759,-104.581725,0.99,rooftop,323,Ft Sumner Rd,,,Roswell,NM,Chaves County,88201,US,Statewide,70.0
2060,2016,"FRONTIER ENERGY SERVICES, L.L.C.",32.063649,-104.1339,CRUDE OIL,100.0,0.0,100.0,NO,,NO,,NO,CARBON STEEL,OTHER,,32.063649,-104.1339,0.06,nearest_place,,,,,Malaga,NM,Eddy County,88263,US,TIGER/Line® dataset from the US Census Bureau,0.0
2096,2016,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",34.998458,-106.023817,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,34.997544,-106.024245,0.99,rooftop,1021,Martinez Rd E,,,Moriarty,NM,Torrance County,87035,US,Torrance,0.24
2100,2016,ENTERPRISE CRUDE PIPELINE LLC,32.650659,-103.139764,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,32.652067,-103.13904,0.99,rooftop,201,W Arco Rd,,,Hobbs,NM,Lea County,88240,US,Statewide,0.0
2101,2016,ENTERPRISE CRUDE PIPELINE LLC,32.53707,-103.52274,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.53707,-103.52274,0.04,nearest_place,,,,,Hobbs,NM,Lea County,88240,US,TIGER/Line® dataset from the US Census Bureau,0.0
2125,2015,ENTERPRISE CRUDE PIPELINE LLC,32.65151,-103.138489,CRUDE OIL,1.5,0.0,1.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.652067,-103.13904,0.99,rooftop,201,W Arco Rd,,,Hobbs,NM,Lea County,88240,US,Statewide,0.0
2129,2015,ENERGY TRANSFER COMPANY,31.925091,-104.01825,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,443.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,OTHER,,31.925091,-104.01825,0.03,nearest_place,,,,,Malaga,NM,,88263,US,TIGER/Line® dataset from the US Census Bureau,443.0
2177,2015,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.847106,-104.390717,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.35,0.0,0.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.846128,-104.391603,0.97,nearest_street,485,Mosley Ave,,,Artesia,NM,Eddy County,88210,US,TIGER/Line® dataset from the US Census Bureau,0.35
2262,2015,"PLAINS PIPELINE, L.P.",32.54213,-103.17194,CRUDE OIL,40.0,0.0,40.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.54213,-103.17194,0.07,nearest_place,,,,,Eunice,NM,Lea County,88231,US,TIGER/Line® dataset from the US Census Bureau,0.0
2302,2015,KINDER MORGAN CO2 CO. LP,36.49701,-107.74874,CO2 (CARBON DIOXIDE),17.3,3.3,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,36.496866,-107.74974,0.99,rooftop,1210,Road 7007,,,Bloomfield,NM,San Juan County,87413,US,Statewide,20.6
2321,2015,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.71949,-104.181559,CRUDE OIL,1.43,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,32.719565,-104.18105,1.0,rooftop,481,Depco Rd,,,Artesia,NM,Eddy County,88210,US,Statewide,1.43
2338,2015,"WESTERN REFINING PIPELINE, LLC",35.5314135,-108.210311,CRUDE OIL,682.0,0.0,682.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,35.531508,-108.211471,0.99,rooftop,34,Wolf Canyon Rd,,,Smith Lake,NM,McKinley County,87365,US,Statewide,0.0
2364,2015,"ROADRUNNER PIPELINE, L.L.C.",32.524731,-103.18819,CRUDE OIL,0.25,0.0,0.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.524731,-103.18819,0.09,nearest_place,,,,,Eunice,NM,Lea County,88231,US,TIGER/Line® dataset from the US Census Bureau,0.25
2374,2015,"PLAINS PIPELINE, L.P.",32.08164,-103.18105,CRUDE OIL,35.0,0.0,35.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.08164,-103.18105,0.43,nearest_place,,,,,Jal,NM,Lea County,88252,US,TIGER/Line® dataset from the US Census Bureau,0.0
2406,2015,NAVAJO NATION OIL AND GAS COMPANY,36.715463,-108.496528,CRUDE OIL,100.0,0.0,100.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,36.715463,-108.496528,0.16,nearest_place,,,,,Waterflow,NM,San Juan County,87421,US,TIGER/Line® dataset from the US Census Bureau,0.0
2435,2015,"WESTERN REFINING PIPELINE, LLC",32.062707,-103.881937,CRUDE OIL,50.0,0.0,50.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.063313,-103.881761,1.0,rooftop,1643,Buck Jackson Rd,,,Loving,NM,Eddy County,88256,US,Statewide,0.0
2495,2015,PHILLIPS 66 PIPELINE LLC,32.407275,-102.884611,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.33,20.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.407275,-102.884611,0.03,nearest_place,,,,,Eunice,NM,,88231,US,TIGER/Line® dataset from the US Census Bureau,20.33
2510,2015,"PLAINS PIPELINE, L.P.",32.08076,-103.17807,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.08076,-103.17807,0.37,nearest_place,,,,,Jal,NM,Lea County,88252,US,TIGER/Line® dataset from the US Census Bureau,0.0
