Calendar Year,Portal Year,Incident Cause Type,Incident Cause SubType,Serious Incident Flag,Significant Incident Flag,,# of Fatalities,# of Injuries,Total Property Damage,Total Property Damage-Cur Yr Dollars,Commodity Spilled Amount bbls,Net Spill bbls,System Sub Type,Serious Incident Flag,Serious Incident Flag,Serious Incident Flag,State Name
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,107500,154612.0366,0,0,GAS TRANSMISSION,No,No,No,OKLAHOMA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,2,0,0,245000,352371.6182,0,0,GAS TRANSMISSION,No,No,No,TEXAS
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,3000000,4314754.509,6800,2891,HAZARDOUS LIQUID,No,No,No,ALASKA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,3,0,0,826533,1188762.33,1171,143,HAZARDOUS LIQUID,No,No,No,CALIFORNIA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,150000,215737.7255,0,0,HAZARDOUS LIQUID,No,No,No,FLORIDA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,700000,1006776.052,87,0,HAZARDOUS LIQUID,No,No,No,GEORGIA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,2,0,0,82624,118834.0922,461,56,HAZARDOUS LIQUID,No,No,No,ILLINOIS
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,8000,11506.01202,75,0,HAZARDOUS LIQUID,No,No,No,INDIANA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,850000,1222513.778,475,60,HAZARDOUS LIQUID,No,No,No,LOUISIANA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,2,0,0,351059,504911.1344,27,15,HAZARDOUS LIQUID,No,No,No,MINNESOTA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,300000,431475.4509,15,10,HAZARDOUS LIQUID,No,No,No,MISSISSIPPI
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,200000,287650.3006,1050,453,HAZARDOUS LIQUID,No,No,No,MISSOURI
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,200000,287650.3006,0,0,HAZARDOUS LIQUID,No,No,No,N/A
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,1000,1438.251503,130,2,HAZARDOUS LIQUID,No,No,No,NEW MEXICO
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,1318072,1895719.035,400,136,HAZARDOUS LIQUID,No,No,No,NORTH CAROLINA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,25000,35956.28758,118,3,HAZARDOUS LIQUID,No,No,No,OHIO
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,3,0,0,100000,143825.1503,3035,501,HAZARDOUS LIQUID,No,No,No,OKLAHOMA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,600000,862950.9018,702,699,HAZARDOUS LIQUID,No,No,No,PENNSYLVANIA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,10,0,0,669422,962797.1976,3250,421,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,ILLINOIS
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,0,1,200000,287650.3006,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,MICHIGAN
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,2,1,2,90000,129442.6353,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,MISSISSIPPI
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,1,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,VIRGINIA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,0,1,0,0,0,0,GAS TRANSMISSION,Yes,Yes,Yes,ARKANSAS
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,1,2,0,0,0,0,GAS TRANSMISSION,Yes,Yes,Yes,IDAHO
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,0,2,0,0,0,0,GAS TRANSMISSION,Yes,Yes,Yes,MICHIGAN
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,1,0,0,0,0,0,GAS TRANSMISSION,Yes,Yes,Yes,OKLAHOMA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,0,1,1029431,1480580.683,0,0,HAZARDOUS LIQUID,Yes,Yes,Yes,CALIFORNIA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,1,0,5,,0,0,0,HAZARDOUS LIQUID,Yes,Yes,Yes,ILLINOIS
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,Yes,Yes,2,0,2,88000,126566.1323,3932,3932,HAZARDOUS LIQUID,Yes,Yes,Yes,TEXAS
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,217850,313323.0899,0,0,GAS TRANSMISSION,No,No,No,ALABAMA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,737500,1060710.483,0,0,GAS TRANSMISSION,No,No,No,ARIZONA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,800000,1150601.202,0,0,GAS TRANSMISSION,No,No,No,KANSAS
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,78000,112183.6172,0,0,GAS TRANSMISSION,No,No,No,LOUISIANA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,88000,126566.1323,0,0,GAS TRANSMISSION,No,No,No,PENNSYLVANIA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,500000,719125.7515,0,-26,HAZARDOUS LIQUID,No,No,No,ALASKA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,15000,21573.77255,344,344,HAZARDOUS LIQUID,No,No,No,ILLINOIS
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,4,0,0,625500,899626.3151,242,122,HAZARDOUS LIQUID,No,No,No,LOUISIANA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,300000,431475.4509,35,30,HAZARDOUS LIQUID,No,No,No,MISSOURI
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,600000,862950.9018,5,5,HAZARDOUS LIQUID,No,No,No,N/A
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,417000,599750.8768,1,1,HAZARDOUS LIQUID,No,No,No,OCS
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,2,0,0,15700,22580.5486,21,15,HAZARDOUS LIQUID,No,No,No,OKLAHOMA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,1,0,0,500000,719125.7515,50,10,HAZARDOUS LIQUID,No,No,No,PENNSYLVANIA
2001,7/8/21,CORROSION,EXTERNAL,No,Yes,5,0,0,1180000,1697136.774,1082,187,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,CORROSION,EXTERNAL,Yes,Yes,1,0,2,180000,258885.2705,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,NEW MEXICO
2001,7/8/21,CORROSION,EXTERNAL,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,WEST VIRGINIA
2001,7/8/21,CORROSION,INTERNAL,No,Yes,3,0,0,2000000,2876503.006,0,0,GAS GATHERING,No,No,No,LOUISIANA
2001,7/8/21,CORROSION,INTERNAL,No,Yes,3,0,0,1015850,1461047.789,0,0,GAS TRANSMISSION,No,No,No,LOUISIANA
2001,7/8/21,CORROSION,INTERNAL,No,Yes,2,0,0,285350,410405.0664,0,0,GAS TRANSMISSION,No,No,No,N/A
2001,7/8/21,CORROSION,INTERNAL,No,Yes,1,0,0,50000,71912.57515,200,80,HAZARDOUS LIQUID,No,No,No,ILLINOIS
2001,7/8/21,CORROSION,INTERNAL,No,Yes,1,0,0,250000,359562.8758,885,0,HAZARDOUS LIQUID,No,No,No,LOUISIANA
2001,7/8/21,CORROSION,INTERNAL,No,Yes,1,0,0,100000,143825.1503,300,0,HAZARDOUS LIQUID,No,No,No,MISSOURI
2001,7/8/21,CORROSION,INTERNAL,No,Yes,5,0,0,386000,555165.0802,452,177,HAZARDOUS LIQUID,No,No,No,OKLAHOMA
2001,7/8/21,CORROSION,INTERNAL,No,Yes,5,0,0,496000,713372.7455,3160,2482,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,CORROSION,UNSPECIFIED CORROSION,No,Yes,1,0,0,160000,230120.2405,0,0,GAS DISTRIBUTION,No,No,No,PENNSYLVANIA
2001,7/8/21,CORROSION,UNSPECIFIED CORROSION,No,Yes,1,0,0,25000,35956.28758,352,346,HAZARDOUS LIQUID,No,No,No,KANSAS
2001,7/8/21,CORROSION,UNSPECIFIED CORROSION,No,Yes,2,0,0,635000,913289.7044,2925,1527,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,CORROSION,UNSPECIFIED CORROSION,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,OHIO
2001,7/8/21,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,No,Yes,1,0,0,269000,386889.6543,0,0,GAS DISTRIBUTION,No,No,No,ARIZONA
2001,7/8/21,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,No,Yes,1,0,0,80000,115060.1202,0,0,GAS TRANSMISSION,No,No,No,PENNSYLVANIA
2001,7/8/21,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,No,Yes,1,0,0,149200,214587.1242,0,0,GAS TRANSMISSION,No,No,No,WEST VIRGINIA
2001,7/8/21,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,No,Yes,1,0,0,31000,44585.79659,1361,1361,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,Yes,Yes,1,0,1,12865,18503.10559,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,NORTH CAROLINA
2001,7/8/21,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,Yes,Yes,1,0,1,2000000,2876503.006,1442,1442,HAZARDOUS LIQUID,Yes,Yes,Yes,IOWA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,150000,215737.7255,0,0,GAS DISTRIBUTION,No,No,No,ARIZONA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,350000,503388.0261,0,0,GAS DISTRIBUTION,No,No,No,ARKANSAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,202000,290526.8036,0,0,GAS DISTRIBUTION,No,No,No,CALIFORNIA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,3,0,0,540000,776655.8116,0,0,GAS DISTRIBUTION,No,No,No,COLORADO
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,200000,287650.3006,0,0,GAS DISTRIBUTION,No,No,No,GEORGIA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,150000,215737.7255,0,0,GAS DISTRIBUTION,No,No,No,LOUISIANA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,100000,143825.1503,0,0,GAS DISTRIBUTION,No,No,No,MICHIGAN
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,350000,503388.0261,0,0,GAS DISTRIBUTION,No,No,No,MISSOURI
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,489169,703548.0495,0,0,GAS DISTRIBUTION,No,No,No,NEVADA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,300000,431475.4509,0,0,GAS DISTRIBUTION,No,No,No,NEW JERSEY
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,180000,258885.2705,0,0,GAS DISTRIBUTION,No,No,No,NEW MEXICO
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,100000,143825.1503,0,0,GAS DISTRIBUTION,No,No,No,NEW YORK
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,200000,287650.3006,0,0,GAS DISTRIBUTION,No,No,No,NORTH CAROLINA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,125000,179781.4379,0,0,GAS DISTRIBUTION,No,No,No,OKLAHOMA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,295104,424433.7715,0,0,GAS DISTRIBUTION,No,No,No,PENNSYLVANIA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,3,0,0,565000,812612.0992,0,0,GAS DISTRIBUTION,No,No,No,TEXAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,7680600,11046634.49,0,0,GAS GATHERING,No,No,No,OCS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,89000,128004.3838,0,0,GAS TRANSMISSION,No,No,No,ARKANSAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,120000,172590.1804,0,0,GAS TRANSMISSION,No,No,No,CALIFORNIA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,140000,201355.2104,0,0,GAS TRANSMISSION,No,No,No,COLORADO
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,100000,143825.1503,0,0,GAS TRANSMISSION,No,No,No,KANSAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,150000,215737.7255,0,0,GAS TRANSMISSION,No,No,No,MONTANA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,630000,906098.4469,0,0,GAS TRANSMISSION,No,No,No,N/A
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,2159963,3106570.031,0,0,GAS TRANSMISSION,No,No,No,NORTH CAROLINA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,506539,728530.4781,0,0,GAS TRANSMISSION,No,No,No,OHIO
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,100000,143825.1503,0,0,GAS TRANSMISSION,No,No,No,PENNSYLVANIA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,318560,458169.3988,0,0,GAS TRANSMISSION,No,No,No,TEXAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,300838,432680.7057,0,0,GAS TRANSMISSION,No,No,No,UTAH
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,450000,647213.1764,49,0,HAZARDOUS LIQUID,No,No,No,FLORIDA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,10000,14382.51503,150,150,HAZARDOUS LIQUID,No,No,No,IOWA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,50000,71912.57515,198,198,HAZARDOUS LIQUID,No,No,No,KANSAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,700000,1006776.052,338,338,HAZARDOUS LIQUID,No,No,No,LOUISIANA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,215000,309224.0731,47,18,HAZARDOUS LIQUID,No,No,No,MASSACHUSETTS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,250000,359562.8758,174,149,HAZARDOUS LIQUID,No,No,No,MICHIGAN
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,2,0,0,265000,381136.6483,185,165,HAZARDOUS LIQUID,No,No,No,OHIO
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,1,0,0,220000,316415.3307,77,77,HAZARDOUS LIQUID,No,No,No,OKLAHOMA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,No,Yes,6,0,0,625000,898907.1894,2562,450,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,2,0,2,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,ARKANSAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,GEORGIA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,ILLINOIS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,1,21598,31063.35596,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,NEVADA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,NEW MEXICO
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,1,20000,28765.03006,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,NORTH CAROLINA
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,OHIO
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,2,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,TENNESSEE
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,4,0,7,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,TEXAS
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,1,1,185000,266076.5281,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,WISCONSIN
2001,7/8/21,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,Yes,Yes,1,0,1,650000,934863.477,10740,10740,HAZARDOUS LIQUID,Yes,Yes,Yes,TEXAS
2001,7/8/21,INCORRECT OPERATION,INCORRECT OPERATION,No,Yes,2,0,0,400000,575300.6012,54,5,HAZARDOUS LIQUID,No,No,No,ALASKA
2001,7/8/21,INCORRECT OPERATION,INCORRECT OPERATION,No,Yes,2,0,0,160000,230120.2405,520,30,HAZARDOUS LIQUID,No,No,No,CALIFORNIA
2001,7/8/21,INCORRECT OPERATION,INCORRECT OPERATION,No,Yes,1,0,0,1500,2157.377255,5,5,HAZARDOUS LIQUID,No,No,No,COLORADO
2001,7/8/21,INCORRECT OPERATION,INCORRECT OPERATION,No,Yes,1,0,0,30000,43147.54509,150,28,HAZARDOUS LIQUID,No,No,No,ILLINOIS
2001,7/8/21,INCORRECT OPERATION,INCORRECT OPERATION,No,Yes,1,0,0,350,503.3880261,16,16,HAZARDOUS LIQUID,No,No,No,IOWA
2001,7/8/21,INCORRECT OPERATION,INCORRECT OPERATION,No,Yes,1,0,0,0,0,877,877,HAZARDOUS LIQUID,No,No,No,KANSAS
2001,7/8/21,INCORRECT OPERATION,INCORRECT OPERATION,No,Yes,1,0,0,10000,14382.51503,195,5,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,Yes,Yes,1,0,2,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,NEW MEXICO
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,No,Yes,1,0,0,100000,143825.1503,450,74,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,83000,119374.8747,0,0,GAS DISTRIBUTION,No,No,No,ALABAMA
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,100000,143825.1503,0,0,GAS DISTRIBUTION,No,No,No,TEXAS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,97336,139993.6483,0,0,GAS GATHERING,No,No,No,TEXAS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,81000,116498.3717,0,0,GAS TRANSMISSION,No,No,No,KANSAS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,2,0,0,289634,416566.5358,0,0,GAS TRANSMISSION,No,No,No,LOUISIANA
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,365000,524961.7986,0,0,GAS TRANSMISSION,No,No,No,MISSOURI
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,135600,195026.9038,0,0,GAS TRANSMISSION,No,No,No,OKLAHOMA
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,348000,500511.523,0,0,GAS TRANSMISSION,No,No,No,PENNSYLVANIA
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,117500,168994.5516,0,0,GAS TRANSMISSION,No,No,No,TEXAS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,No,Yes,1,0,0,100000,143825.1503,0,0,GAS TRANSMISSION,No,No,No,VIRGINIA
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,Yes,Yes,1,0,2,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,COLORADO
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,Yes,Yes,1,0,1,0,0,0,0,GAS DISTRIBUTION,Yes,Yes,Yes,OKLAHOMA
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED PIPE BODY OR SEAM,No,Yes,1,0,0,35000,50338.80261,75,0,HAZARDOUS LIQUID,No,No,No,ILLINOIS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED PIPE BODY OR SEAM,No,Yes,1,0,0,50000,71912.57515,170,170,HAZARDOUS LIQUID,No,No,No,KANSAS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED PIPE BODY OR SEAM,No,Yes,1,0,0,230000,330797.8457,13500,13500,HAZARDOUS LIQUID,No,No,No,MISSOURI
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED PIPE BODY OR SEAM,No,Yes,1,0,0,250000,359562.8758,4659,4659,HAZARDOUS LIQUID,No,No,No,TEXAS
2001,7/8/21,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,No,Yes,1,0,0,200000,287650.3006,25,10,HAZARDOUS LIQUID,No,No,No,MINNESOTA
